,Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
231,10-01-2025,16,13116.48,19074.03,8575.08,8575.08,3326.36,3332.76
232,10-01-2025,17,14853.4,12154.45,8739.36,8739.36,4113.54,4096.63
233,10-01-2025,18,17081.78,6045.9,6045.9,6045.9,10000.0,10000.0
234,10-01-2025,19,27928.68,5647.35,5647.34,5647.34,10000.0,10000.0
235,10-01-2025,20,18366.35,6041.63,6041.63,6041.63,10000.0,10000.0
236,10-01-2025,21,12376.98,9737.95,6974.37,6974.37,4484.02,4487.83
237,10-01-2025,22,10553.3,12320.68,6190.4,6190.4,3792.79,3800.39
238,10-01-2025,23,8825.68,14497.93,5407.48,5407.48,3229.02,3226.82
239,10-01-2025,24,9185.6,20209.53,6215.85,6215.85,3103.1,3103.18
240,11-01-2025,1,10859.45,25252.4,7886.28,7886.28,2827.15,2825.5
241,11-01-2025,2,10764.18,27752.75,8414.25,8414.25,2622.36,2620.86
242,11-01-2025,3,10823.7,29299.08,8985.68,8985.68,2489.64,2489.19
243,11-01-2025,4,10842.48,29582.43,9121.83,9121.83,2426.74,2426.74
244,11-01-2025,5,10368.1,26505.38,8535.57,8535.57,2533.41,2533.27
245,11-01-2025,6,10712.83,19536.68,7774.92,7774.92,2950.4,2943.74
246,11-01-2025,7,12504.03,11851.33,8162.88,8162.88,4318.76,4319.26
247,11-01-2025,8,18632.0,7584.53,7559.52,7559.52,10000.0,10000.0
248,11-01-2025,9,19852.45,8472.75,8472.75,8472.75,10000.0,10000.0
249,11-01-2025,10,16860.6,9772.38,9392.2,9392.2,8157.53,8190.24
250,11-01-2025,11,14907.88,11601.75,8271.25,8271.25,4342.17,4348.13
251,11-01-2025,12,13769.08,13911.58,7661.55,7661.55,3705.97,3705.51
252,11-01-2025,13,10222.83,16339.73,6476.92,6476.92,3078.26,3079.24
253,11-01-2025,14,9193.0,21004.5,6741.67,6741.67,2660.87,2669.46
254,11-01-2025,15,12980.23,22435.2,8881.23,8881.23,3339.61,3354.21
255,11-01-2025,16,15902.55,19484.23,11037.02,11037.02,3640.59,3643.16
256,11-01-2025,17,17502.9,12947.78,10983.52,10983.52,5881.84,5823.02
257,11-01-2025,18,16642.98,6311.85,6311.85,6311.85,10000.0,10000.0
258,11-01-2025,19,28568.0,6015.7,6015.7,6015.7,10000.0,10000.0
259,11-01-2025,20,20398.58,6245.55,6245.55,6245.55,10000.0,10000.0
260,11-01-2025,21,14345.15,9072.6,8129.9,8129.9,6282.19,6199.37
261,11-01-2025,22,10676.88,12642.75,7073.73,7073.73,3769.83,3782.44
262,11-01-2025,23,8106.38,15307.28,5425.0,5425.0,3039.83,3040.12
263,11-01-2025,24,8244.35,21365.48,5951.0,5951.0,2797.82,2799.1
264,12-01-2025,1,9505.03,24915.3,6960.53,6960.53,2779.61,2778.11
265,12-01-2025,2,9811.4,27714.4,7775.63,7775.63,2535.69,2532.94
266,12-01-2025,3,9641.2,29058.25,7890.78,7890.78,2323.41,2323.41
267,12-01-2025,4,9565.93,29534.4,7908.42,7908.42,2263.36,2263.33
268,12-01-2025,5,9556.03,27263.9,7736.5,7736.5,2398.18,2395.18
269,12-01-2025,6,8634.0,19646.63,6496.83,6496.83,2608.37,2588.91
270,12-01-2025,7,9017.4,13644.48,7154.48,7154.48,3396.59,3400.24
271,12-01-2025,8,15166.25,11211.43,10215.6,10215.6,7379.82,7546.14
272,12-01-2025,9,17486.23,10650.15,10650.15,10650.15,10000.0,10000.0
273,12-01-2025,10,16073.73,10213.53,9934.83,9934.83,7749.81,7772.71
274,12-01-2025,11,14553.25,12077.78,9512.03,9512.03,4522.08,4523.04
